model,MR,CR,SUBJ,MPQA,SICKEntailment,SST2,TREC,MRPC,avg
all-MiniLM-L6-v2-sarcastic-headlines-50k,71.2,66.44,86.57,79.63,71.22,80.94,74.4,66.49,74.61
all-MiniLM-L6-v2-sst2-50k,81.21,84.53,87.43,84.76,75.85,86.49,81.2,70.78,81.53
e5-small-v2-sarcastic-headlines-50k,82.4,76.27,90.47,85.75,67.73,89.95,71.4,66.49,78.81
e5-small-v2-sst2-50k,88.95,88.98,91.06,86.28,76.74,93.41,79.8,74.55,84.97
gte-base-sarcastic-headlines-50k,84.33,88.82,92.82,88.04,78.32,90.83,88.4,68.52,85.01
gte-base-sst2-50k,89.31,89.27,92.91,85.95,79.28,93.19,80.8,73.33,85.5
gte-small-sarcastic-headlines-50k,80.51,83.52,90.17,86.11,75.71,87.59,84.6,66.49,81.84
gte-small-sst2-50k,87.72,89.59,90.85,86.86,79.87,91.38,79.0,73.39,84.83
