model,dataset,loss,epoch,polarity_mean,semantic_mean
gte-small,sst2,TripletLoss,4,88.324,80.579
gte-small,sst2,TripletLoss,5,88.081,80.655
gte-small,sst2,TripletLoss,1,87.392,81.215
gte-small,sst2,TripletLoss,2,87.407,80.492
gte-small,sst2,TripletLoss,3,87.93,80.485
gte-small,sst2,TripletLoss,4,88.081,80.565
gte-small,sst2,TripletLoss,5,88.159,80.618
gte-small,sst2,TripletLoss,1,87.321,81.196
gte-small,sst2,TripletLoss,2,87.378,80.47
gte-small,sst2,TripletLoss,3,87.88,80.512
gte-small,sst2,TripletLoss,4,88.224,80.561
gte-small,sst2,TripletLoss,5,88.152,80.622
gte-small,sst2,TripletLoss,1,87.378,81.516
gte-small,sst2,TripletLoss,2,88.052,81.336
gte-small,sst2,TripletLoss,3,88.374,81.341
gte-small,sst2,TripletLoss,4,88.539,81.345
gte-small,sst2,TripletLoss,5,88.589,81.327
gte-small,sst2,TripletLoss,1,87.966,83.694
gte-small,sst2,TripletLoss,2,88.855,83.425
gte-small,sst2,TripletLoss,3,89.242,83.267
gte-small,sst2,TripletLoss,4,89.528,83.109
gte-small,sst2,TripletLoss,5,89.894,82.949
gte-small,sst2,TripletLoss,1,85.851,84.151
gte-small,sst2,TripletLoss,2,87.328,83.444
gte-small,sst2,TripletLoss,3,87.873,83.081
gte-small,sst2,TripletLoss,4,88.475,83.027
gte-small,sst2,TripletLoss,5,89.134,82.95
gte-base,sst2,MultipleNegativesRankingLoss,1,80.519,82.661
gte-base,sst2,MultipleNegativesRankingLoss,2,80.662,82.566
gte-base,sst2,MultipleNegativesRankingLoss,3,81.236,82.581
gte-base,sst2,MultipleNegativesRankingLoss,4,81.35,82.564
gte-base,sst2,MultipleNegativesRankingLoss,5,81.795,82.554
gte-base,sst2,OnlineContrastiveLoss,1,87.916,83.069
gte-base,sst2,OnlineContrastiveLoss,2,89.435,82.303
gte-base,sst2,OnlineContrastiveLoss,3,90.123,81.837
gte-base,sst2,OnlineContrastiveLoss,4,90.431,81.709
gte-base,sst2,OnlineContrastiveLoss,5,90.718,81.707
gte-base,sst2,OnlineContrastiveLoss,1,88.124,83.077
gte-base,sst2,OnlineContrastiveLoss,2,89.349,82.44
gte-base,sst2,OnlineContrastiveLoss,3,90.138,82.076
gte-base,sst2,OnlineContrastiveLoss,4,90.267,81.961
gte-base,sst2,OnlineContrastiveLoss,5,90.804,81.872
gte-base,sst2,OnlineContrastiveLoss,1,87.959,82.867
gte-base,sst2,OnlineContrastiveLoss,2,89.141,82.389
gte-base,sst2,OnlineContrastiveLoss,3,89.951,82.136
gte-base,sst2,OnlineContrastiveLoss,4,90.245,82.051
gte-base,sst2,OnlineContrastiveLoss,5,90.582,81.966
gte-base,sst2,OnlineContrastiveLoss,1,86.962,82.284
gte-base,sst2,OnlineContrastiveLoss,2,89.041,82.019
gte-base,sst2,OnlineContrastiveLoss,3,89.614,81.865
gte-base,sst2,OnlineContrastiveLoss,4,90.044,81.825
gte-base,sst2,OnlineContrastiveLoss,5,90.188,81.743
gte-base,sst2,OnlineContrastiveLoss,1,83.737,81.905
gte-base,sst2,OnlineContrastiveLoss,2,87.586,81.429
gte-base,sst2,OnlineContrastiveLoss,3,88.475,81.309
gte-base,sst2,OnlineContrastiveLoss,4,89.048,81.269
gte-base,sst2,OnlineContrastiveLoss,5,89.457,81.188
gte-base,sst2,ContrastiveLoss,1,88.382,82.654
gte-base,sst2,ContrastiveLoss,2,89.622,81.425
gte-base,sst2,ContrastiveLoss,3,90.138,81.34
gte-base,sst2,ContrastiveLoss,4,90.417,81.325
gte-base,sst2,ContrastiveLoss,5,90.647,81.281
gte-base,sst2,ContrastiveLoss,1,88.69,82.747
gte-base,sst2,ContrastiveLoss,2,89.643,81.64
gte-base,sst2,ContrastiveLoss,3,90.009,81.575
gte-base,sst2,ContrastiveLoss,4,90.417,81.536
gte-base,sst2,ContrastiveLoss,5,90.632,81.497
gte-base,sst2,ContrastiveLoss,1,87.866,82.797
gte-base,sst2,ContrastiveLoss,2,89.457,81.847
gte-base,sst2,ContrastiveLoss,3,90.044,81.714
gte-base,sst2,ContrastiveLoss,4,90.252,81.673
gte-base,sst2,ContrastiveLoss,5,90.288,81.598
gte-base,sst2,ContrastiveLoss,1,85.923,82.588
gte-base,sst2,ContrastiveLoss,2,88.761,81.676
gte-base,sst2,ContrastiveLoss,3,89.313,81.525
gte-base,sst2,ContrastiveLoss,4,89.751,81.494
gte-base,sst2,ContrastiveLoss,5,90.03,81.4
gte-base,sst2,ContrastiveLoss,1,81.716,82.219
gte-base,sst2,ContrastiveLoss,2,86.547,81.407
gte-base,sst2,ContrastiveLoss,3,88.109,81.123
gte-base,sst2,ContrastiveLoss,4,88.711,81.094
gte-base,sst2,ContrastiveLoss,5,89.235,80.966
gte-base,sst2,TripletLoss,1,88.726,80.313
gte-base,sst2,TripletLoss,2,89.091,80.027
gte-base,sst2,TripletLoss,3,89.579,79.931
gte-base,sst2,TripletLoss,4,89.815,79.919
gte-base,sst2,TripletLoss,5,90.252,79.948
gte-base,sst2,TripletLoss,1,88.475,80.31
gte-base,sst2,TripletLoss,2,89.299,80.009
gte-base,sst2,TripletLoss,3,89.679,79.939
gte-base,sst2,TripletLoss,4,89.765,79.92
gte-base,sst2,TripletLoss,5,90.087,79.935
gte-base,sst2,TripletLoss,1,88.539,80.319
gte-base,sst2,TripletLoss,2,89.077,80.039
gte-base,sst2,TripletLoss,3,89.392,79.962
gte-base,sst2,TripletLoss,4,89.894,79.926
gte-base,sst2,TripletLoss,5,90.13,79.927
gte-base,sst2,TripletLoss,1,88.733,80.519
gte-base,sst2,TripletLoss,2,89.536,80.36
gte-base,sst2,TripletLoss,3,90.138,80.323
gte-base,sst2,TripletLoss,4,90.539,80.316
gte-base,sst2,TripletLoss,5,90.618,80.342
gte-base,sst2,TripletLoss,1,89.729,82.549
gte-base,sst2,TripletLoss,2,90.31,82.297
gte-base,sst2,TripletLoss,3,90.761,82.067
gte-base,sst2,TripletLoss,4,90.905,81.931
gte-base,sst2,TripletLoss,5,91.184,81.87
gte-base,sst2,TripletLoss,1,87.952,83.035
gte-base,sst2,TripletLoss,2,89.278,82.52
gte-base,sst2,TripletLoss,3,89.579,82.152
gte-base,sst2,TripletLoss,4,90.023,82.005
gte-base,sst2,TripletLoss,5,90.295,81.913
