,dataset,model,model_id,lambda,loss,samples,combined,polarity,semantic,history
105,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.5),0.5,OnlineContrastiveLoss,50000,0.86,0.889,0.831,"[{'combined': 0.86, 'polarity': 0.889, 'semantic': 0.831}]"
106,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.25),0.25,OnlineContrastiveLoss,50000,0.859,0.888,0.829,"[{'combined': 0.859, 'polarity': 0.888, 'semantic': 0.829}]"
107,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.1),0.1,OnlineContrastiveLoss,50000,0.853,0.882,0.824,"[{'combined': 0.853, 'polarity': 0.882, 'semantic': 0.824}]"
108,sst2,gte-small,Contrastive(gte-small)(lambda=1),1.0,ContrastiveLoss,50000,0.859,0.894,0.824,"[{'combined': 0.859, 'polarity': 0.894, 'semantic': 0.824}]"
109,sst2,gte-small,Contrastive(gte-small)(lambda=0.75),0.75,ContrastiveLoss,50000,0.86,0.893,0.827,"[{'combined': 0.86, 'polarity': 0.893, 'semantic': 0.827}]"
110,sst2,gte-small,Contrastive(gte-small)(lambda=0.5),0.5,ContrastiveLoss,50000,0.859,0.89,0.828,"[{'combined': 0.859, 'polarity': 0.89, 'semantic': 0.828}]"
111,sst2,gte-small,Contrastive(gte-small)(lambda=0.25),0.25,ContrastiveLoss,50000,0.856,0.887,0.825,"[{'semantic': 0.825, 'combined': 0.856, 'polarity': 0.887}]"
112,sst2,gte-small,Contrastive(gte-small)(lambda=0.1),0.1,ContrastiveLoss,50000,0.851,0.88,0.821,"[{'combined': 0.851, 'polarity': 0.88, 'semantic': 0.821}]"
113,sst2,gte-small,Triplet(gte-small)(lambda=10),10.0,TripletLoss,50000,0.844,0.882,0.806,"[{'combined': 0.844, 'polarity': 0.882, 'semantic': 0.806}]"
114,sst2,gte-small,Triplet(gte-small)(lambda=7.5),7.5,TripletLoss,50000,0.843,0.88,0.806,"[{'combined': 0.843, 'polarity': 0.88, 'semantic': 0.806}]"
115,sst2,gte-small,Triplet(gte-small)(lambda=5),5.0,TripletLoss,50000,0.845,0.883,0.806,"[{'combined': 0.845, 'polarity': 0.883, 'semantic': 0.806}]"
116,sst2,gte-small,Triplet(gte-small)(lambda=1),1.0,TripletLoss,50000,0.851,0.888,0.813,"[{'combined': 0.851, 'polarity': 0.888, 'semantic': 0.813}]"
117,sst2,gte-small,Triplet(gte-small)(lambda=0.1),0.1,TripletLoss,50000,0.865,0.899,0.83,"[{'combined': 0.865, 'polarity': 0.899, 'semantic': 0.83}]"
118,sst2,gte-small,Triplet(gte-small)(lambda=0.01),0.01,TripletLoss,50000,0.859,0.889,0.83,"[{'polarity': 0.889, 'semantic': 0.83, 'combined': 0.859}]"
119,sst2,gte-base,MultipleNegatives(gte-base),,MultipleNegativesRankingLoss,50000,0.821,0.817,0.826,"[{'combined': 0.821, 'polarity': 0.817, 'semantic': 0.826}]"
120,sst2,gte-base,OnlineContrastive(gte-base)(lambda=1),1.0,OnlineContrastiveLoss,50000,0.861,0.905,0.817,"[{'combined': 0.861, 'polarity': 0.905, 'semantic': 0.817}]"
121,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.75),0.75,OnlineContrastiveLoss,50000,0.861,0.904,0.819,"[{'combined': 0.861, 'polarity': 0.904, 'semantic': 0.819}]"
122,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.5),0.5,OnlineContrastiveLoss,50000,0.862,0.905,0.82,"[{'combined': 0.862, 'polarity': 0.905, 'semantic': 0.82}]"
123,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.25),0.25,OnlineContrastiveLoss,50000,0.859,0.901,0.817,"[{'combined': 0.859, 'polarity': 0.901, 'semantic': 0.817}]"
124,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.1),0.1,OnlineContrastiveLoss,50000,0.852,0.892,0.813,"[{'combined': 0.852, 'polarity': 0.892, 'semantic': 0.813}]"
125,sst2,gte-base,Contrastive(gte-base)(lambda=1),1.0,ContrastiveLoss,50000,0.859,0.905,0.813,"[{'combined': 0.859, 'polarity': 0.905, 'semantic': 0.813}]"
126,sst2,gte-base,Contrastive(gte-base)(lambda=0.75),0.75,ContrastiveLoss,50000,0.86,0.905,0.815,"[{'polarity': 0.905, 'semantic': 0.815, 'combined': 0.86}]"
127,sst2,gte-base,Contrastive(gte-base)(lambda=0.5),0.5,ContrastiveLoss,50000,0.86,0.904,0.816,"[{'combined': 0.86, 'polarity': 0.904, 'semantic': 0.816}]"
128,sst2,gte-base,Contrastive(gte-base)(lambda=0.25),0.25,ContrastiveLoss,50000,0.856,0.898,0.814,"[{'combined': 0.856, 'polarity': 0.898, 'semantic': 0.814}]"
129,sst2,gte-base,Contrastive(gte-base)(lambda=0.1),0.1,ContrastiveLoss,50000,0.851,0.892,0.81,"[{'combined': 0.851, 'polarity': 0.892, 'semantic': 0.81}]"
130,sst2,gte-base,Triplet(gte-base)(lambda=10),10.0,TripletLoss,50000,0.851,0.903,0.799,"[{'combined': 0.851, 'polarity': 0.903, 'semantic': 0.799}]"
131,sst2,gte-base,Triplet(gte-base)(lambda=7.5),7.5,TripletLoss,50000,0.85,0.901,0.799,"[{'combined': 0.85, 'polarity': 0.901, 'semantic': 0.799}]"
132,sst2,gte-base,Triplet(gte-base)(lambda=5),5.0,TripletLoss,50000,0.849,0.899,0.8,"[{'polarity': 0.899, 'semantic': 0.8, 'combined': 0.849}]"
133,sst2,gte-base,Triplet(gte-base)(lambda=1),1.0,TripletLoss,50000,0.855,0.907,0.803,"[{'semantic': 0.803, 'combined': 0.855, 'polarity': 0.907}]"
134,sst2,gte-base,Triplet(gte-base)(lambda=0.1),0.1,TripletLoss,50000,0.866,0.913,0.818,"[{'combined': 0.866, 'polarity': 0.913, 'semantic': 0.818}]"
135,sst2,gte-base,Triplet(gte-base)(lambda=0.01),0.01,TripletLoss,50000,0.861,0.903,0.819,"[{'polarity': 0.903, 'semantic': 0.819, 'combined': 0.861}]"
