id,dataset,model,model_id,lambda,loss,samples,polarity,semantic,combined
sst2-100000-Triplet(e5-small)(lambda=5),sst2,e5-small-v2,Triplet(e5-small)(lambda=5),5.0,TripletLoss,100000,0.899,0.817,0.858
sst2-100000-Triplet(e5-small)(lambda=7.5),sst2,e5-small-v2,Triplet(e5-small)(lambda=7.5),7.5,TripletLoss,100000,0.904,0.818,0.861
sst2-100000-Triplet(e5-small)(lambda=10),sst2,e5-small-v2,Triplet(e5-small)(lambda=10),10.0,TripletLoss,100000,0.902,0.817,0.86
sst2-100000-Contrastive(e5-small)(lambda=0.1),sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.1),0.1,ContrastiveLoss,100000,0.921,0.832,0.876
sst2-100000-Contrastive(e5-small)(lambda=0.25),sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.25),0.25,ContrastiveLoss,100000,0.925,0.833,0.879
sst2-100000-Contrastive(e5-small)(lambda=0.5),sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.5),0.5,ContrastiveLoss,100000,0.926,0.834,0.88
sst2-100000-Contrastive(e5-small)(lambda=0.75),sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.75),0.75,ContrastiveLoss,100000,0.928,0.834,0.881
sst2-100000-Contrastive(e5-small)(lambda=1),sst2,e5-small-v2,Contrastive(e5-small)(lambda=1),1.0,ContrastiveLoss,100000,0.926,0.834,0.88
sst2-100000-OnlineContrastive(e5-small)(lambda=0.1),sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.1),0.1,OnlineContrastiveLoss,100000,0.926,0.834,0.88
sst2-100000-OnlineContrastive(e5-small)(lambda=0.25),sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.25),0.25,OnlineContrastiveLoss,100000,0.928,0.836,0.882
sst2-100000-OnlineContrastive(e5-small)(lambda=0.5),sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.5),0.5,OnlineContrastiveLoss,100000,0.934,0.836,0.885
sst2-100000-OnlineContrastive(e5-small)(lambda=0.75),sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.75),0.75,OnlineContrastiveLoss,100000,0.929,0.835,0.882
sst2-100000-OnlineContrastive(e5-small)(lambda=1),sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=1),1.0,OnlineContrastiveLoss,100000,0.928,0.834,0.881
sst2-100000-MultipleNegatives(e5-small),sst2,e5-small-v2,MultipleNegatives(e5-small),,MultipleNegativesRankingLoss,100000,0.819,0.846,0.833
sst2-100000-Triplet(minilm-6)(lambda=0.01),sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.01),0.01,TripletLoss,100000,0.847,0.31,0.579
sst2-100000-Triplet(minilm-6)(lambda=0.1),sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.1),0.1,TripletLoss,100000,0.859,0.329,0.594
sst2-100000-Triplet(minilm-6)(lambda=1),sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=1),1.0,TripletLoss,100000,0.869,0.29,0.579
sst2-100000-Triplet(minilm-6)(lambda=5),sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=5),5.0,TripletLoss,100000,0.841,0.292,0.566
sst2-100000-Triplet(minilm-6)(lambda=7.5),sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=7.5),7.5,TripletLoss,100000,0.846,0.293,0.569
sst2-100000-Triplet(minilm-6)(lambda=10),sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=10),10.0,TripletLoss,100000,0.845,0.295,0.57
sst2-100000-Contrastive(minilm-6)(lambda=0.1),sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.1),0.1,ContrastiveLoss,100000,0.818,0.292,0.555
sst2-100000-Contrastive(minilm-6)(lambda=0.25),sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.25),0.25,ContrastiveLoss,100000,0.833,0.293,0.563
sst2-100000-Contrastive(minilm-6)(lambda=0.5),sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.5),0.5,ContrastiveLoss,100000,0.844,0.296,0.57
sst2-100000-Contrastive(minilm-6)(lambda=0.75),sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.75),0.75,ContrastiveLoss,100000,0.854,0.304,0.579
sst2-100000-Contrastive(minilm-6)(lambda=1),sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=1),1.0,ContrastiveLoss,100000,0.857,0.309,0.583
sst2-100000-OnlineContrastive(minilm-6)(lambda=0.1),sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.1),0.1,OnlineContrastiveLoss,100000,0.824,0.297,0.56
sst2-100000-OnlineContrastive(minilm-6)(lambda=0.25),sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.25),0.25,OnlineContrastiveLoss,100000,0.841,0.303,0.572
sst2-100000-OnlineContrastive(minilm-6)(lambda=0.5),sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.5),0.5,OnlineContrastiveLoss,100000,0.848,0.312,0.58
sst2-100000-OnlineContrastive(minilm-6)(lambda=0.75),sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.75),0.75,OnlineContrastiveLoss,100000,0.853,0.317,0.585
sst2-100000-OnlineContrastive(minilm-6)(lambda=1),sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=1),1.0,OnlineContrastiveLoss,100000,0.855,0.322,0.588
sst2-100000-MultipleNegatives(minilm-6),sst2,all-MiniLM-L6-v2,MultipleNegatives(minilm-6),,MultipleNegativesRankingLoss,100000,0.722,0.424,0.573
